Designator,Mid X,Mid Y,Rotation,Layer
C101,159.639,-75.819,0,bottom
C102,170.815,-75.295,90,top
C103,170.815,-67.945,270,top
C104,158.877,-69.736,270,bottom
C105,165.1,-67.183,0,bottom
C106,150.876,-73.406,135,top
C107,151.384,-68.961,225,top
C108,161.798,-67.183,0,bottom
C109,171.3484,-61.6712,270,top
D101,41.9315,-55.626,180,top
D102,60.9815,-55.626,180,top
D103,80.0315,-49.53,180,top
D104,99.0815,-47.498,180,top
D105,118.1315,-49.022,180,top
D106,137.1815,-51.435,180,top
D107,109.454,-131.445,180,top
D108,41.9715,-74.803,180,top
D109,61.1085,-74.676,180,top
D110,80.0715,-68.58,180,top
D111,99.1215,-66.548,180,top
D112,118.237,-68.072,180,top
D113,137.287,-70.612,180,top
D114,128.484,-132.969,180,top
D115,42.0115,-93.599,180,top
D116,61.0615,-93.726,180,top
D117,80.1115,-87.63,180,top
D118,99.1615,-85.598,180,top
D119,118.2115,-87.122,180,top
D120,137.3885,-89.662,180,top
D121,145.796,-132.715,240,top
D122,42.037,-112.776,180,top
D123,61.0615,-112.776,180,top
D124,80.1115,-106.68,180,top
D125,99.1615,-104.648,180,top
D126,118.2115,-106.299,180,top
D127,137.3885,-108.712,180,top
D128,155.448,-116.078,240,top
D129,153.67,-61.428,90,top
D130,156.3195,-61.468,90,top
J101,164.985,-55.7276,180,top
R101,152.146,-50.6476,90,top
R102,167.894,-79.375,0,top
R103,153.67,-58.166,270,top
R104,165.989,-57.023,90,bottom
R105,163.957,-57.023,90,bottom
R106,165.989,-62.484,270,top
R107,156.3195,-58.166,270,top
R108,163.957,-62.484,270,top
U101,163.068,-71.628,180,top
Y101,153.248992,-71.12,45,top